examNumber,questionNumber,answerNumber,answer,isCorrect
1,1,1,To look after the area in which you live and the environment,yes
1,1,2,To look after yourself and your family,yes
1,1,3,To stay in the UK forever,
1,1,4,To promote work in your local community,
1,2,1,Buckingham Palace,
1,2,2,The Tower of London,
1,2,3,Trafalgar Square,
1,2,4,The Houses of the Parliament,yes
1,3,1,1918,
1,3,2,1903,
1,3,3,1928,yes
1,3,4,1923,
1,4,1,South west of Europe,
1,4,2,North east of Europe,
1,4,3,North west of Europe,yes
1,4,4,South east of Europe,
1,5,1,St David,
1,5,2,St Patrick,
1,5,3,St George,
1,5,4,St Andrew,yes
1,6,1,The House of Chester,
1,6,2,The House of York,yes
1,6,3,The House of Lancaster,yes
1,6,4,The House of Newcastle,
1,7,1,True,
1,7,2,False,yes
1,8,1,A flower,
1,8,2,A Christian church,
1,8,3,A war memorial,yes
1,8,4,A theatre,
1,9,1,Mary Stuart,
1,9,2,Theresa May,
1,9,3,Margaret Thatcher,yes
1,9,4,Florence Nightingale,
1,10,1,A bishop,
1,10,2,The Prime Minister,
1,10,3,The Speaker,yes
1,10,4,The archbishop of Canterbury,
1,11,1,Sir Roger Bannister,
1,11,2,Sir Jackie Stewart,
1,11,3,Sir Ian Botham,
1,11,4,Bobby Moore,yes
1,12,1,1466,
1,12,2,1066,
1,12,3,1254,
1,12,4,1588,yes
1,13,1,True,yes
1,13,2,False,
1,14,1,16,
1,14,2,18,yes
1,14,3,21,
1,14,4,25,
1,15,1,From the NHS registration system,
1,15,2,Randomly from the electoral register,yes
1,15,3,Alphabetically from the telephone directory,
1,15,4,From a postcode selection,
1,16,1,A public holiday when banks are open all day,
1,16,2,A public holiday for people working in banks,
1,16,3,An additional day off that every worker in the UK is entitled to,
1,16,4,A public holiday when banks and many other businesses are closed for the day,yes
1,17,1,A poll tax relief,
1,17,2,A number to queue at the polling station,
1,17,3,A poll card,yes
1,17,4,An specific time for you to vote,
1,18,1,Solicitors' charges are usually based on how much time they spend on a case,yes
1,18,2,Solicitors' charges are usually based on the nature of a case and its importance,
1,19,1,Television,yes
1,19,2,Internet,
1,19,3,Newspapers,
1,19,4,Radio,yes
1,20,1,Northern Ireland,
1,20,2,Wales,
1,20,3,The Channel Islands,yes
1,20,4,Scotland,
1,21,1,Radar,
1,21,2,Hovercraft,
1,21,3,Jet engine,yes
1,21,4,Ballpoint pen,
1,22,1,William Blake,
1,22,2,Robert Browning,
1,22,3,Lord Byron,
1,22,4,William Wordsworth,yes
1,23,1,Charles I,
1,23,2,Charles II,
1,23,3,Winston Churchill,
1,23,4,Oliver Cromwell,yes
1,24,1,Diwali,
1,24,2,Lent,yes
1,24,3,Hannukah,
1,24,4,Vaisakhi,
10,1,1,St George,yes
10,1,2,St Patrick,
10,1,3,St David,
10,1,4,St Andrew,
10,2,1,England,
10,2,2,Wales,
10,2,3,Scotland,yes
10,2,4,Northern Ireland,
10,3,1,True,
10,3,2,False,yes
10,4,1,The Cambridge Tales,
10,4,2,The Eastbourne Tales,
10,4,3,The Canterbury Tales,yes
10,4,4,The London Tales,
10,5,1,31st October,
10,5,2,26th December,yes
10,5,3,24th December,
10,5,4,01st January,
10,6,1,Credit Holidays,
10,6,2,Branch Holidays,
10,6,3,Bank Holidays,yes
10,6,4,Business Holidays,
10,7,1,In recognition of the contribution women made to the war effort during the First World War,yes
10,7,2,In recognition of the contribution women made to the war effort during the Second World War,
10,7,3,In recognition of the contribution women made to the war effort during the Crimean War,
10,7,4,In recognition of the contribution women made to the war effort during the Civil War,
10,8,1,An ‘L’ plate,
10,8,2,A National Insurance Number,
10,8,3,A valid driving licence,yes
10,8,4,An ‘R’ plate,
10,9,1,Fraserburgh,
10,9,2,Edinburgh,yes
10,9,3,Inverness,
10,9,4,St Andrews,
10,10,1,150,
10,10,2,120,
10,10,3,90,
10,10,4,60,yes
10,11,1,True,
10,11,2,False,yes
10,12,1,He was a musician,yes
10,12,2,He was a tennis player,
10,12,3,He was a comedian,
10,12,4,He was an actor,
10,13,1,£50,
10,13,2,£25,yes
10,13,3,£20,
10,13,4,£5,
10,14,1,Fife,
10,14,2,Edinburgh,
10,14,3,Ayr,yes
10,14,4,St Andrews,
10,15,1,Constitutional monarchy,yes
10,15,2,Constitutional republic,
10,16,1,France,
10,16,2,Portugal,
10,16,3,Spain,yes
10,16,4,Italy,
10,17,1,That every prisoner has a right to a court hearing,yes
10,17,2,A salary for members of Parliament (MPs),
10,17,3,"Financial help for the unemployed, old-age pensions and free school meals",
10,17,4,Measures to improve the conditions of workers,
10,18,1,The right to liberty and security,
10,18,2,The right for women to vote,yes
10,18,3,Freedom of expression,
10,18,4,The right to a fair trial,
10,19,1,"An annual event that gives awards in a range of categories, such as best British group and best British solo artist",
10,19,2,"An annual cultural festival which includes music, dance, art and original performances largely in Welsh",
10,19,3,An eight-week summer season of daily orchestral classical music concerts,yes
10,19,4,Light-hearted plays with music and comedy,
10,20,1,The discovery of insulin,
10,20,2,The discovery of gravity,yes
10,20,3,The discovery of penicillin,
10,20,4,The discovery of steam power,
10,21,1,In 1922,
10,21,2,In 1918,yes
10,21,3,In 1945,
10,21,4,In 1943,
10,22,1,Boudicca,
10,22,2,Emperor Hadrian,yes
10,22,3,Emperor Claudius,
10,22,4,Julius Caesar,
10,23,1,The University of Oxford,yes
10,23,2,The University of Cambridge,yes
10,23,3,The University of Manchester,
10,23,4,The University of Warwick,
10,24,1,Yes,
10,24,2,No,yes
11,1,1,Yes,
11,1,2,No,yes
11,2,1,Docklands,
11,2,2,London’s East End,
11,2,3,London’s West End,yes
11,2,4,London’s South End,
11,3,1,Euro,
11,3,2,Pound Sterling,yes
11,3,3,Peso,
11,3,4,Dollar,
11,4,1,The Festival of Lights,yes
11,4,2,Ash Wednesday,
11,4,3,Good Friday,
11,4,4,Easter Monday,
11,5,1,A period of total peace in England,
11,5,2,"A period when new ideas about politics, philosophy and science were developed",yes
11,5,3,A period when England became the largest empire the world had ever seen,
11,5,4,A period of economic recovery after the Second World War,
11,6,1,NSPCC,
11,6,2,Shelter,
11,6,3,Friends of the Earth,yes
11,6,4,Crisis,
11,7,1,The Battle of Britain,yes
11,7,2,The Battle of Worcester,
11,7,3,The Battle of Dunbar,
11,7,4,The Battle of Marston Moor,
11,8,1,She fought for the right to vote for women,
11,8,2,She was the first woman Prime Minister of the UK,yes
11,8,3,She set up the women’s Franchise League,
11,8,4,She was the founder of modern nursing,
11,9,1,Latin,
11,9,2,Anglo-Saxon,yes
11,9,3,Proto-Celtic,
11,9,4,Norman French,yes
11,10,1,True,yes
11,10,2,False,
11,11,1,France,
11,11,2,Spain,yes
11,11,3,Italy,
11,11,4,South America,
11,12,1,Dumfries,
11,12,2,Cenotaph,yes
