examNumber,questionNumber,question,reference
1,1,What are two responsibilities that you will have as a British citizen or permanent resident of the UK?,"If you wish to be a permanent resident or citizen of the UK, you should: look after yourself and your family, look after the area in which you live and the environment, respect and obey the law, respect the rights of others, including their right to their own opinions and treat others with fairness."
1,2,Where is Big Ben located?,Big Ben is the nickname for the great bell of the clock at the Houses of Parliament in London. Many people call the clock Big Ben as well. The clock is over 150 years old and is a popular tourist attraction. The clock tower is named ‘Elizabeth Tower’ in honour of Queen Elizabeth II’s Diamond Jubilee in 2012.
1,3,When were men and women given the right to vote at the age of 21?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War. Shortly before Emmeline’s death in 1928, women were given the right to vote at the age of 21, the same as men."
1,4,Where is the UK geographically located?,The UK is located in the north west of Europe.
1,5,Who is the patron Saint of Scotland?,"Patron Saints' days England, Scotland, Wales and Northern Ireland each have a national saint, called a patron saint. Each saint has a special day: 1 March: St David’s Day, Wales 17 March: St Patrick’s Day, Northern Ireland 23 April: St George’s Day, England 30 November: St Andrew’s Day, Scotland."
1,6,Which two houses fought in the Wars of the Roses?,"In 1455, a civil war was begun to decide who should be king of England. It was fought between the supporters of two families: the House of Lancaster and the House of York. This war was called the Wars of the Roses, because the symbol of Lancaster was a red rose and the symbol of York was a white rose. The war ended with the Battle of Bosworth Field in 1485. King Richard III of the House of York was killed in the battle and Henry Tudor, the leader of the House of Lancaster, became King Henry VII."
1,7,The Bill of Rights of 1689 confirmed the right to vote for all adult men.,"False. The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power. Parliament took control of who could be monarch and declared that the king or queen must be a Protestant"
1,8,What is the Cenotaph?,"The Cenotaph is a war memorial and it is the site of the annual Remembrance Day service attended by the Queen, politicians and foreign ambassadors."
1,9,Who was the first female Prime Minister of the UK?,Margaret Thatcher was the first woman Prime Minister of the UK.
1,10,Who chairs the debates at the House of Commons?,Debates in the House of Commons are chaired by the Speaker.
